"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"122",38.14,38.53,29.5,38.38,36.03,3,2,3,29.5,38.53,36.12
"123",32.35,31.74,25.54,32.31,34.76,3,5,3,25.54,34.76,31.34
"124",32.01,31.72,19.86,31.85,31.62,3,1,3,19.86,32.01,29.41
"125",27.43,27.05,22.04,27.35,28.05,3,5,3,22.04,28.05,26.39
"126",43.25,43.49,42.51,42.91,41.35,5,2,5,41.35,43.49,42.7
"127",39.4,38.44,18.65,38.33,35.34,3,1,3,18.65,39.4,34.03
"128",40.61,42.36,35.87,40.68,40.58,3,2,3,35.87,42.36,40.02
"129",37.35,37.87,21.43,38.24,37.44,3,4,3,21.43,38.24,34.47
"130",41.53,41.95,15.85,42.7,40.78,3,4,3,15.85,42.7,36.56
"131",24.97,25.25,19,25.2,24.56,3,2,3,19,25.25,23.79
"132",27.33,36.8,16.05,26.35,25.37,3,2,3,16.05,36.8,26.38
"133",25.88,26.11,17.75,26.06,25.02,3,2,3,17.75,26.11,24.16
"134",49.02,48.32,32.86,48.49,42.83,3,1,3,32.86,49.02,44.31
"135",38.92,40.39,32.21,38.48,38.96,3,2,3,32.21,40.39,37.79
"136",30.17,31.47,19.86,30.64,31.42,3,2,3,19.86,31.47,28.71
"137",30.19,30.86,23.59,30.13,36.09,3,5,3,23.59,36.09,30.17
"138",29.89,28.94,21.76,29.75,31.43,3,5,3,21.76,31.43,28.35
"139",37.15,36.76,21.8,36.82,34.41,3,1,3,21.8,37.15,33.39
"140",39.16,39.04,27.62,52.21,39.49,3,4,3,27.62,52.21,39.51
"141",50.18,53.45,36.96,53.46,59.97,3,5,3,36.96,59.97,50.81
"142",34.04,33.95,19.33,34.14,30.31,3,4,3,19.33,34.14,30.36
"143",33.31,38.9,34.29,34.04,37.12,1,2,3,33.31,38.9,35.53
"144",44.22,44.05,28.54,44.06,45.68,3,5,3,28.54,45.68,41.31
"145",33.95,34.23,20.63,33.67,33.27,3,2,3,20.63,34.23,31.15
"146",49.72,49.13,49.53,49.32,42.14,5,1,5,42.14,49.72,47.97
"147",49.73,49.19,34.05,49.02,44.95,3,1,3,34.05,49.73,45.39
"148",58.38,56.78,37.17,55.37,54.78,3,1,3,37.17,58.38,52.5
"149",28.97,29.56,22.22,29.1,27.39,3,2,3,22.22,29.56,27.45
"150",29.41,28.97,27.93,29.52,27.3,5,4,5,27.3,29.52,28.62
"151",28.02,27.74,22.14,27.39,26.34,3,1,3,22.14,28.02,26.32
"152",44.81,45.85,36.26,44.62,44.24,3,2,3,36.26,45.85,43.16
"153",33.32,34.72,30.69,32.72,30.39,5,2,3,30.39,34.72,32.37
"154",26.99,26.41,21.93,26.41,25.74,3,1,3,21.93,26.99,25.5
"155",33.88,34.4,20.94,34.09,32.4,3,2,3,20.94,34.4,31.14
"156",37.55,37.36,22.07,37.28,35.15,3,1,3,22.07,37.55,33.88
"157",27.97,27.26,20.97,27.79,27.72,3,1,3,20.97,27.97,26.34
"158",27.08,28.1,13.7,27.46,31.17,3,5,3,13.7,31.17,25.5
"159",45.34,44.2,26.58,45.04,44.14,3,1,3,26.58,45.34,41.06
"160",37.37,40.67,23.5,38.19,37.53,3,2,3,23.5,40.67,35.45
"161",38.14,38.53,29.5,38.38,35.99,3,2,3,29.5,38.53,36.11
"162",38.27,36.99,36.97,37.1,39.81,3,5,3,36.97,39.81,37.83
"163",53.54,52.91,28.91,62.56,49.65,3,4,3,28.91,62.56,49.52
"164",26.43,26.11,21.55,26.13,25.12,3,1,3,21.55,26.43,25.07
"165",34.41,34.37,34.08,34.35,34.24,3,1,3,34.08,34.41,34.29
"166",30.66,31.44,17.02,31.01,30.86,3,2,3,17.02,31.44,28.2
"167",40.99,40.08,35.16,40.62,40.86,3,1,3,35.16,40.99,39.54
"168",29.21,29.46,29.55,29.46,26.81,5,3,5,26.81,29.55,28.9
"169",39.76,40.91,25.11,40.75,39.59,3,2,3,25.11,40.91,37.22
"170",42.17,42.35,31.04,42.45,40.82,3,4,3,31.04,42.45,39.77
"171",42.93,41.48,43.81,41.43,43.58,4,3,1,41.43,43.81,42.65
